event_id,lote_id,event_timestamp,unidad_negocio,tipo_evento,evento,campo,cultivo,superficie_ha,rinde_qq_ha,created_at
4a137a4a-8cb4-48f8-8074-978109276dbd,5d7eae16-7e50-4410-b790-1a5139e65913,2026-01-04T19:44:38.552607,siembras,siembra_event,PREPARACION_SUELO,Campo Acosta,Soja,235,,2026-01-07T20:26:47.876482
5f7e762a-b1b5-47fd-a37b-f0ca179acfcf,5d7eae16-7e50-4410-b790-1a5139e65913,2026-01-11T19:44:38.552607,siembras,siembra_event,SIEMBRA,Campo Acosta,Soja,235,,2026-01-07T20:26:47.876489
6ddcef0d-fe11-4e43-b6b0-c42bd0d8166d,5d7eae16-7e50-4410-b790-1a5139e65913,2026-02-03T19:44:38.552607,siembras,siembra_event,FERTILIZACION,Campo Acosta,Soja,235,,2026-01-07T20:26:47.876494
126413dc-2b19-4769-b24d-526a8cc2a71c,5d7eae16-7e50-4410-b790-1a5139e65913,2026-03-05T19:44:38.552607,siembras,siembra_event,PULVERIZACION,Campo Acosta,Soja,235,,2026-01-07T20:26:47.876501
a9a975a4-5d15-466b-aa0a-f18eee38dae3,5d7eae16-7e50-4410-b790-1a5139e65913,2026-05-04T19:44:38.552607,siembras,siembra_event,COSECHA,Campo Acosta,Soja,235,25.0,2026-01-07T20:26:47.876507
7b55b526-8635-407c-a840-a0f86ab3b355,457f9d47-7e0c-4702-bcf4-a3fac5ce5294,2026-01-06T13:30:14.061430,siembras,siembra_event,PREPARACION_SUELO,Campo Cardozo,Soja,169,,2026-01-07T20:26:47.876555
d8434ea6-e433-4ec7-97f2-4c27c6db5b50,457f9d47-7e0c-4702-bcf4-a3fac5ce5294,2026-01-13T13:30:14.061430,siembras,siembra_event,SIEMBRA,Campo Cardozo,Soja,169,,2026-01-07T20:26:47.876560
9efc0f4a-cfa4-48cc-8374-f3dfff5b6b30,457f9d47-7e0c-4702-bcf4-a3fac5ce5294,2026-02-05T13:30:14.061430,siembras,siembra_event,FERTILIZACION,Campo Cardozo,Soja,169,,2026-01-07T20:26:47.876564
0ecedcf9-9455-49b2-94f0-3aa0c322d443,457f9d47-7e0c-4702-bcf4-a3fac5ce5294,2026-03-07T13:30:14.061430,siembras,siembra_event,PULVERIZACION,Campo Cardozo,Soja,169,,2026-01-07T20:26:47.876568
bc0f5f7f-5fce-4fcc-a7c3-3d21d180b9b3,457f9d47-7e0c-4702-bcf4-a3fac5ce5294,2026-05-06T13:30:14.061430,siembras,siembra_event,COSECHA,Campo Cardozo,Soja,169,35.0,2026-01-07T20:26:47.876574
18949a91-4ca8-481a-8be0-4ee638cc86b4,3086f849-e509-405a-8f04-3be2fc854bde,2026-01-05T10:46:07.768422,siembras,siembra_event,PREPARACION_SUELO,Campo Villalba,Trigo,291,,2026-01-07T20:26:47.876611
de81670e-f1c0-490e-a8de-6eb7e0b72c2a,3086f849-e509-405a-8f04-3be2fc854bde,2026-01-12T10:46:07.768422,siembras,siembra_event,SIEMBRA,Campo Villalba,Trigo,291,,2026-01-07T20:26:47.876616
86ee63a1-ff94-4d4f-93aa-11cab45bd20d,3086f849-e509-405a-8f04-3be2fc854bde,2026-02-04T10:46:07.768422,siembras,siembra_event,FERTILIZACION,Campo Villalba,Trigo,291,,2026-01-07T20:26:47.876620
a404c09f-404e-4c9f-9bbb-e6028aa49dec,3086f849-e509-405a-8f04-3be2fc854bde,2026-03-06T10:46:07.768422,siembras,siembra_event,PULVERIZACION,Campo Villalba,Trigo,291,,2026-01-07T20:26:47.876624
2c11f47c-ae67-4889-bbdd-7cf8d77bd96b,3086f849-e509-405a-8f04-3be2fc854bde,2026-05-05T10:46:07.768422,siembras,siembra_event,COSECHA,Campo Villalba,Trigo,291,45.0,2026-01-07T20:26:47.876629
4808f53c-360c-452e-98f5-64f0bb95e1aa,8578a357-4849-4eb2-9ddc-ae73c04a0a31,2026-01-02T10:42:40.597670,siembras,siembra_event,PREPARACION_SUELO,Campo Soria,Soja,184,,2026-01-07T20:26:47.876663
b956024f-e5ea-4027-a0ff-25465e23577f,8578a357-4849-4eb2-9ddc-ae73c04a0a31,2026-01-09T10:42:40.597670,siembras,siembra_event,SIEMBRA,Campo Soria,Soja,184,,2026-01-07T20:26:47.876667
663f015b-43ec-4c91-a8ce-08ebfb941e37,8578a357-4849-4eb2-9ddc-ae73c04a0a31,2026-02-01T10:42:40.597670,siembras,siembra_event,FERTILIZACION,Campo Soria,Soja,184,,2026-01-07T20:26:47.876671
6af32276-8230-4998-a4da-af8b183512eb,8578a357-4849-4eb2-9ddc-ae73c04a0a31,2026-03-03T10:42:40.597670,siembras,siembra_event,PULVERIZACION,Campo Soria,Soja,184,,2026-01-07T20:26:47.876676
e440d275-9d43-4860-95ab-3f2d137fe0ff,8578a357-4849-4eb2-9ddc-ae73c04a0a31,2026-05-02T10:42:40.597670,siembras,siembra_event,COSECHA,Campo Soria,Soja,184,50.0,2026-01-07T20:26:47.876680
06dfbc80-909e-4d5b-9a73-6cd7bb914104,11bb0478-953f-416d-9ac4-37c6e72f973e,2026-01-01T20:59:38.598851,siembras,siembra_event,PREPARACION_SUELO,Campo Romero,Girasol,45,,2026-01-07T20:26:47.876715
56233602-93c0-4bcf-94fc-2497d359d7c1,11bb0478-953f-416d-9ac4-37c6e72f973e,2026-01-08T20:59:38.598851,siembras,siembra_event,SIEMBRA,Campo Romero,Girasol,45,,2026-01-07T20:26:47.876723
6ddbd0fd-eafb-4243-a960-97aad6f5bd63,11bb0478-953f-416d-9ac4-37c6e72f973e,2026-01-31T20:59:38.598851,siembras,siembra_event,FERTILIZACION,Campo Romero,Girasol,45,,2026-01-07T20:26:47.876727
a5c69032-abbc-4898-b865-d3f859d1b612,11bb0478-953f-416d-9ac4-37c6e72f973e,2026-03-02T20:59:38.598851,siembras,siembra_event,PULVERIZACION,Campo Romero,Girasol,45,,2026-01-07T20:26:47.876731
9c78d067-c099-4b82-9b93-088c8259c281,11bb0478-953f-416d-9ac4-37c6e72f973e,2026-05-01T20:59:38.598851,siembras,siembra_event,COSECHA,Campo Romero,Girasol,45,27.0,2026-01-07T20:26:47.876736
9f9896ce-6e5a-49ed-8f5a-c7d83fa20f59,37cdcf5d-b60f-43b1-b22b-d716cf5667b1,2026-01-04T16:28:49.737400,siembras,siembra_event,PREPARACION_SUELO,Campo Rodriguez,Girasol,75,,2026-01-07T20:26:47.876771
69fac4a4-e61d-4630-b88f-86dc8e7c2110,37cdcf5d-b60f-43b1-b22b-d716cf5667b1,2026-01-11T16:28:49.737400,siembras,siembra_event,SIEMBRA,Campo Rodriguez,Girasol,75,,2026-01-07T20:26:47.876775
a47f97ac-28b0-4ee8-be17-397c96d55d0f,37cdcf5d-b60f-43b1-b22b-d716cf5667b1,2026-02-03T16:28:49.737400,siembras,siembra_event,FERTILIZACION,Campo Rodriguez,Girasol,75,,2026-01-07T20:26:47.876779
35c13edf-e2c6-4e99-93a3-12ee00833097,37cdcf5d-b60f-43b1-b22b-d716cf5667b1,2026-03-05T16:28:49.737400,siembras,siembra_event,PULVERIZACION,Campo Rodriguez,Girasol,75,,2026-01-07T20:26:47.876783
b00afeb2-7d46-4f96-a612-56e98ae0097a,37cdcf5d-b60f-43b1-b22b-d716cf5667b1,2026-05-04T16:28:49.737400,siembras,siembra_event,COSECHA,Campo Rodriguez,Girasol,75,30.0,2026-01-07T20:26:47.876788
d3de38a0-a378-4fbf-9fc2-63de32a4c049,3ada00ac-3086-446b-8189-c65ae53e440d,2026-01-04T19:02:56.032666,siembras,siembra_event,PREPARACION_SUELO,Campo Olivera,Soja,228,,2026-01-07T20:26:47.876820
0f2836f4-5c4d-4895-91a9-c736305a1300,3ada00ac-3086-446b-8189-c65ae53e440d,2026-01-11T19:02:56.032666,siembras,siembra_event,SIEMBRA,Campo Olivera,Soja,228,,2026-01-07T20:26:47.876825
93994180-c9b7-4635-8f1d-9fa41a957fd8,3ada00ac-3086-446b-8189-c65ae53e440d,2026-02-03T19:02:56.032666,siembras,siembra_event,FERTILIZACION,Campo Olivera,Soja,228,,2026-01-07T20:26:47.876829
d8dc9e87-a4bd-4910-80a0-fc163234b849,3ada00ac-3086-446b-8189-c65ae53e440d,2026-03-05T19:02:56.032666,siembras,siembra_event,PULVERIZACION,Campo Olivera,Soja,228,,2026-01-07T20:26:47.876833
f947999b-23cc-41af-b59b-0a210c46c541,3ada00ac-3086-446b-8189-c65ae53e440d,2026-05-04T19:02:56.032666,siembras,siembra_event,COSECHA,Campo Olivera,Soja,228,52.0,2026-01-07T20:26:47.876838
4d0d91c7-9d91-47e4-b580-350daa73f444,7bfcbd1c-8d4c-47ef-b4a5-8001d1e7359b,2026-01-02T10:21:00.223567,siembras,siembra_event,PREPARACION_SUELO,Campo Rodriguez,Trigo,113,,2026-01-07T20:26:47.876870
86ff258c-f1e2-4f13-b220-6051c5efb1dd,7bfcbd1c-8d4c-47ef-b4a5-8001d1e7359b,2026-01-09T10:21:00.223567,siembras,siembra_event,SIEMBRA,Campo Rodriguez,Trigo,113,,2026-01-07T20:26:47.876875
90953493-79c2-493f-8552-b93ceda054de,7bfcbd1c-8d4c-47ef-b4a5-8001d1e7359b,2026-02-01T10:21:00.223567,siembras,siembra_event,FERTILIZACION,Campo Rodriguez,Trigo,113,,2026-01-07T20:26:47.876879
e2d32ad3-e89d-4b4f-b03d-26ab3e3f5a44,7bfcbd1c-8d4c-47ef-b4a5-8001d1e7359b,2026-03-03T10:21:00.223567,siembras,siembra_event,PULVERIZACION,Campo Rodriguez,Trigo,113,,2026-01-07T20:26:47.876886
824c2ab6-21c8-4a8f-9768-4def79c96759,7bfcbd1c-8d4c-47ef-b4a5-8001d1e7359b,2026-05-02T10:21:00.223567,siembras,siembra_event,COSECHA,Campo Rodriguez,Trigo,113,36.0,2026-01-07T20:26:47.876892
7b0f505c-5334-4736-99f9-8a8873669e4f,40040101-ecb7-4350-8264-7dc117e23a8f,2026-01-07T01:49:26.268281,siembras,siembra_event,PREPARACION_SUELO,Campo Rivero,Trigo,307,,2026-01-07T20:26:47.876924
c2e2866e-f10c-4e85-a735-4eaa3d4cb693,40040101-ecb7-4350-8264-7dc117e23a8f,2026-01-14T01:49:26.268281,siembras,siembra_event,SIEMBRA,Campo Rivero,Trigo,307,,2026-01-07T20:26:47.876929
6d56cbf7-e320-4948-85c7-94f03fbdc9c6,40040101-ecb7-4350-8264-7dc117e23a8f,2026-02-06T01:49:26.268281,siembras,siembra_event,FERTILIZACION,Campo Rivero,Trigo,307,,2026-01-07T20:26:47.876943
ffe86259-f561-4ce2-b7ee-cce661d69056,40040101-ecb7-4350-8264-7dc117e23a8f,2026-03-08T01:49:26.268281,siembras,siembra_event,PULVERIZACION,Campo Rivero,Trigo,307,,2026-01-07T20:26:47.876949
01986b3c-1776-4378-b278-7bc103401205,40040101-ecb7-4350-8264-7dc117e23a8f,2026-05-07T01:49:26.268281,siembras,siembra_event,COSECHA,Campo Rivero,Trigo,307,49.0,2026-01-07T20:26:47.876955
58332faf-d9c7-4b82-8235-6742faf70aac,f64c3db1-dcb7-4d17-9d56-5dbb2e79a740,2026-01-01T22:56:41.659040,siembras,siembra_event,PREPARACION_SUELO,Campo Suarez,Maíz,44,,2026-01-07T20:26:47.876994
7ade6c6b-cacf-49e9-bccf-09e0f1dc697b,f64c3db1-dcb7-4d17-9d56-5dbb2e79a740,2026-01-08T22:56:41.659040,siembras,siembra_event,SIEMBRA,Campo Suarez,Maíz,44,,2026-01-07T20:26:47.876999
8c715768-464f-4ae4-bb43-d9567061129e,f64c3db1-dcb7-4d17-9d56-5dbb2e79a740,2026-01-31T22:56:41.659040,siembras,siembra_event,FERTILIZACION,Campo Suarez,Maíz,44,,2026-01-07T20:26:47.877008
cddd2061-bab5-40c2-af42-7cdefaa2d51e,f64c3db1-dcb7-4d17-9d56-5dbb2e79a740,2026-03-02T22:56:41.659040,siembras,siembra_event,PULVERIZACION,Campo Suarez,Maíz,44,,2026-01-07T20:26:47.877012
6bce8e82-c96e-435e-a9b6-71bf8d7e2cc3,f64c3db1-dcb7-4d17-9d56-5dbb2e79a740,2026-05-01T22:56:41.659040,siembras,siembra_event,COSECHA,Campo Suarez,Maíz,44,38.0,2026-01-07T20:26:47.877017
